"Date","Price","Open","High","Low","Vol.","Change %"
"09-11-2023","51.10","51.40","51.40","51.05","67.92K","-0.97%"
"08-11-2023","51.60","51.95","51.95","51.30","27.68K","-0.10%"
"07-11-2023","51.65","51.85","52.00","51.55","47.43K","-0.77%"
"06-11-2023","52.05","52.05","52.10","51.60","79.32K","0.19%"
"03-11-2023","51.95","51.95","52.10","51.85","72.23K","0.10%"
"02-11-2023","51.90","52.60","52.60","51.75","42.22K","0.19%"
"01-11-2023","51.80","51.95","51.95","51.20","100.36K","-0.77%"
"31-10-2023","52.20","52.15","52.35","52.00","1.54M","0.10%"
"30-10-2023","52.15","52.40","52.40","52.05","3.19M","0.58%"
"27-10-2023","51.85","52.20","52.20","51.65","150.39K","-0.19%"
"26-10-2023","51.95","51.75","52.05","51.70","990.02K","0.68%"
"25-10-2023","51.60","51.75","51.75","51.30","1.99M","-0.19%"
"23-10-2023","51.70","51.60","51.85","51.30","174.58K","0.29%"
"20-10-2023","51.55","51.45","51.80","51.40","6.13M","0.78%"
"19-10-2023","51.15","51.00","51.20","50.70","185.03K","0.59%"
"18-10-2023","50.85","50.85","51.00","50.60","141.85K","0.59%"
"17-10-2023","50.55","50.40","50.65","50.20","104.38K","0.60%"
"16-10-2023","50.25","50.80","50.80","50.15","107.32K","0.90%"
"13-10-2023","49.80","49.55","49.80","49.35","81.18K","0.30%"
"12-10-2023","49.65","49.15","49.70","49.15","134.62K","0.71%"
"11-10-2023","49.30","49.50","49.50","49.05","84.00K","0.20%"
"10-10-2023","49.20","49.35","49.60","48.95","106.02K","0.51%"
"09-10-2023","48.95","49.40","49.65","48.55","124.35K","1.24%"
"06-10-2023","48.35","48.50","48.70","48.25","127.25K","0.00%"
"05-10-2023","48.35","48.30","48.70","48.30","74.28K","0.10%"
"04-10-2023","48.30","49.00","49.00","48.15","186.72K","-0.72%"
"03-10-2023","48.65","48.90","49.00","48.45","213.16K","-1.62%"
"29-09-2023","49.45","49.40","49.45","49.25","77.54K","-0.20%"
"28-09-2023","49.55","49.75","49.75","49.30","102.94K","-0.80%"
"27-09-2023","49.95","49.95","50.10","49.80","23.14K","-0.30%"
"26-09-2023","50.10","50.40","50.40","50.05","130.72K","-0.60%"
"25-09-2023","50.40","50.40","50.45","50.25","83.27K","0.00%"
